         871 function calls (854 primitive calls) in 0.013 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/events.py:36(__init__)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/tornado/queues.py:225(get)
        6    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/typing.py:426(inner)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/traitlets/traitlets.py:1527(_notify_observers)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/numpy/core/shape_base.py:362(_stack_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'execute' of 'sqlite3.Connection' objects}
       29    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/enum.py:1156(__new__)
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/contextlib.py:108(__init__)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/base_events.py:823(call_soon)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/zmq/eventloop/zmqstream.py:542(sending)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        8    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/traitlets/traitlets.py:629(get)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/numpy/core/shape_base.py:207(_arrays_for_stack_dispatcher)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/inspect.py:2962(apply_defaults)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/numpy/core/_ufunc_config.py:452(_no_nep50_warning)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/traitlets/traitlets.py:3624(validate_elements)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        2    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/traitlets/traitlets.py:727(_cross_validate)
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/queue.py:115(empty)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/events.py:113(__init__)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/threading.py:428(notify_all)
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/threading.py:303(__enter__)
       60    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/abc.py:121(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/IPython/core/history.py:839(_writeout_output_cache)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/tornado/queues.py:256(get_nowait)
        5    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/base_events.py:772(time)
        4    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/typing.py:1443(__hash__)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/threading.py:631(clear)
