         696890 function calls (696876 primitive calls) in 0.200 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       57    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
       57    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/Image.py:571(_new)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/base_events.py:876(call_soon_threadsafe)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/tornado/ioloop.py:604(call_later)
        5    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/zmq/sugar/attrsettr.py:66(_get_attr_opt)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/selector_events.py:141(_write_to_self)
       57    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/_binary.py:60(i32le)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/traitlets/traitlets.py:708(__set__)
       14    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/enum.py:1596(__or__)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/traitlets/traitlets.py:3631(set)
       57    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/JpegImagePlugin.py:501(_getmp)
       66    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/enum.py:1589(_get_value)
      546    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      171    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/traitlets/traitlets.py:689(set)
        8    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/enum.py:1607(__and__)
      114    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/Image.py:543(__init__)
       57    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/Image.py:3354(_decompression_bomb_check)
       57    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/abc.py:117(__instancecheck__)
       57    0.000    0.000    0.000    0.000 {method 'setimage' of 'ImagingEncoder' objects}
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/zmq/eventloop/zmqstream.py:624(_handle_recv)
       57    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/JpegImagePlugin.py:511(_getmp)
      630    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/Image.py:567(mode)
       57    0.000    0.000    0.000    0.000 {method 'setimage' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/tornado/queues.py:225(get)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/tornado/platform/asyncio.py:216(call_at)
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/typing.py:1374(__instancecheck__)
      570    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/Image.py:563(size)
      3/1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/selectors.py:540(select)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/traitlets/traitlets.py:718(_validate)
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/typing.py:1665(__subclasscheck__)
       57    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/PngImagePlugin.py:717(_accept)
       57    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      290    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       57    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/base_events.py:781(call_later)
        1    0.000    0.000    0.000    0.000 /var/folders/52/y7hxdy6x453211drrw02dllh0000gn/T/ipykernel_41140/811519513.py:1(<module>)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/zmq/sugar/socket.py:774(recv_multipart)
      168    0.000    0.000    0.000    0.000 {method 'pixel_access' of 'ImagingCore' objects}
      114    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/Image.py:555(width)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
      114    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/Image.py:559(height)
       29    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/enum.py:695(__call__)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/base_events.py:805(call_at)
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/base_events.py:852(_call_soon)
      176    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       57    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/posixpath.py:42(_get_sep)
      228    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/inspect.py:2962(apply_defaults)
       67    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        8    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/traitlets/traitlets.py:676(__get__)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/traitlets/traitlets.py:3474(validate)
      114    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/JpegImagePlugin.py:318(_accept)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/IPython/core/history.py:833(_writeout_input_cache)
        2    0.000    0.000    0.000    0.000 {method '__exit__' of 'sqlite3.Connection' objects}
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/tornado/platform/asyncio.py:231(add_callback)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/traitlets/traitlets.py:1512(_notify_trait)
       57    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      114    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/unix_events.py:83(_process_self_data)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/ipykernel/iostream.py:216(_check_mp_mode)
       57    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.raw_encoder}
      114    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
